StateUnionTerritory,Year,Paddy,Jowar,Bajra,Maize,Ragi,Wheat,Barley,Gram,TurArhar,SugarRaw,Potato,Tobacco,Groundnut,state,RapeSeed,Sesamum,Linseed,CasterSeed,Nigerseed,Cotton,Soyabean,Sannhemp,Pepper,GingerFresh,Chilly,Turmeric,Mesta,Toria,Jute,Ginger,ChillyDry,Banana,Coconut100Nos,ChillyFresh,TurmericFresh,Rice,Nigeseed,TurmericDry,Sunflower,Coconut1000Nos,Arecanut,GingerDry,Cashewnut,Arecanut100Nos,Tapioca
,2003-04,,,,,,,,,,,,,,BIHAR--DISTRICT,1516,1931,1398,..,,..,,…,..,,3179,1045,..,..,..,1040,,,,,,,,,,,,,,,
SITAMARHI,2001-02,,,,,,,,,,,,,,BIHAR--DISTRICT,1600,..,1331,..,,..,,..,..,,2967,820,759,..,..,..,,,,,,,,,,,,,,,
,2002-03,,,,,,,,,,,,,,BIHAR--DISTRICT,1427,..,1331,..,,..,,..,..,,3136,965,778,..,..,..,,,,,,,,,,,,,,,
,2003-04,,,,,,,,,,,,,,BIHAR--DISTRICT,1516,1931,1355,..,,..,,..,..,,3179,1045,..,..,…,..,,,,,,,,,,,,,,,
VAISHALI,2001-02,,,,,,,,,,,,,,BIHAR--DISTRICT,1300,2000,1225,..,,..,,..,..,,2967,..,759,..,760,..,,,,,,,,,,,,,,,
,2002-03,,,,,,,,,,,,,,BIHAR--DISTRICT,1400,1746,1200,..,,..,,..,..,,3050,965,778,..,..,..,,,,,,,,,,,,,,,
,2003-04,,,,,,,,,,,,,,BIHAR--DISTRICT,1516,2125,1398,..,,..,,..,…,,3000,1045,..,..,..,..,,,,,,,,,,,,,,,
DARBHANGA,2001-02,,,,,,,,,,,,,,BIHAR--DISTRICT,1300,..,1229,..,,..,,..,..,,2967,820,759,..,..,..,,,,,,,,,,,,,,,
,2002-03,,,,,,,,,,,,,,BIHAR--DISTRICT,1427,1746,1334,..,,..,,..,..,,3136,965,..,..,..,..,,,,,,,,,,,,,,,
,2003-04,,,,,,,,,,,,,,BIHAR--DISTRICT,1481,1931,1398,..,,..,,..,..,,3178,1045,..,..,..,..,,,,,,,,,,,,,,,
MADHUBANI,2001-02,,,,,,,,,,,,,,BIHAR--DISTRICT,1694,1700,1229,..,,..,,..,..,,2967,820,759,..,768,..,,,,,,,,,,,,,,,
,2002-03,,,,,,,,,,,,,,BIHAR--DISTRICT,1426,1326,1334,..,,..,,..,..,,3136,965,778,..,801,1042,,,,,,,,,,,,,,,
,2003-04,,,,,,,,,,,,,,BIHAR--DISTRICT,1516,1931,1398,..,,..,,..,..,,3178,1045,..,..,785,1040,,,,,,,,,,,,,,,
SAMASTIPUR,2001-02,,,,,,,,,,,,,,BIHAR--DISTRICT,1397,1748,1114,..,,..,,..,..,,2967,820,759,..,774,996,,,,,,,,,,,,,,,
,2002-03,,,,,,,,,,,,,,BIHAR--DISTRICT,1426,1746,1334,..,,..,,..,..,,3136,965,776,..,..,1042,,,,,,,,,,,,,,,
,2003-04,,,,,,,,,,,,,,BIHAR--DISTRICT,1516,1895,1398,..,,..,,..,..,,3171,1027,..,..,..,1040,,,,,,,,,,,,,,,
BEGUSARAI,2001-02,,,,,,,,,,,,,,BIHAR--DISTRICT,1143,1748,1229,..,,..,,..,..,,2967,820,759,..,760,..,,,,,,,,,,,,,,,
,2002-03,,,,,,,,,,,,,,BIHAR--DISTRICT,1427,1746,..,..,,..,,..,..,,3136,965,778,..,..,1042,,,,,,,,,,,,,,,
,2003-04,,,,,,,,,,,,,,BIHAR--DISTRICT,1516,1931,1398,..,,..,,..,..,,3179,1197,..,..,..,..,,,,,,,,,,,,,,,
JAMUI,2001-02,,,,,,,,,,,,,,BIHAR--DISTRICT,1300,..,1229,..,,..,,..,..,,2967,..,..,..,..,..,,,,,,,,,,,,,,,
,2002-03,,,,,,,,,,,,,,BIHAR--DISTRICT,1427,..,1201,..,,..,,..,..,,..,..,..,..,..,..,,,,,,,,,,,,,,,
,2003-04,,,,,,,,,,,,,,BIHAR--DISTRICT,1516,..,1398,..,,..,,..,..,,..,..,..,..,..,..,,,,,,,,,,,,,,,
BHAGALPUR,2001-02,,,,,,,,,,,,,,BIHAR--DISTRICT,1241,..,1145,..,,..,,..,..,,2967,820,759,..,..,996,,,,,,,,,,,,,,,
,2002-03,,,,,,,,,,,,,,BIHAR--DISTRICT,1427,1746,1334,..,,..,,..,..,,3136,965,..,..,..,1042,,,,,,,,,,,,,,,
,2003-04,,,,,,,,,,,,,,BIHAR--DISTRICT,1516,1931,1419,..,,..,,..,..,,3179,1045,..,..,..,1040,,,,,,,,,,,,,,,
MUNGER,2001-02,,,,,,,,,,,,,,BIHAR--DISTRICT,1300,..,1229,..,,..,,..,..,,2967,..,..,..,..,..,,,,,,,,,,,,,,,
,2002-03,,,,,,,,,,,,,,BIHAR--DISTRICT,1427,..,1334,..,,..,,..,..,,..,..,..,..,..,..,,,,,,,,,,,,,,,
,2003-04,,,,,,,,,,,,,,BIHAR--DISTRICT,1516,..,1398,..,,..,,..,..,,..,..,..,..,..,..,,,,,,,,,,,,,,,
KHAGARIA,2001-02,,,,,,,,,,,,,,BIHAR--DISTRICT,1300,..,1025,..,,..,,..,..,,2967,820,..,..,..,..,,,,,,,,,,,,,,,
,2002-03,,,,,,,,,,,,,,BIHAR--DISTRICT,1305,..,1334,..,,..,,..,..,,3136,965,..,..,..,..,,,,,,,,,,,,,,,
,2003-04,,,,,,,,,,,,,,BIHAR--DISTRICT,1516,..,1398,..,,..,,..,..,,3179,1045,..,..,785,..,,,,,,,,,,,,,,,
SAHARSA,2001-02,,,,,,,,,,,,,,BIHAR--DISTRICT,1300,1748,1000,..,,..,,..,..,,2967,..,759,..,..,..,,,,,,,,,,,,,,,
,2002-03,,,,,,,,,,,,,,BIHAR--DISTRICT,1427,1746,1334,..,,..,,..,..,,3136,965,778,..,801,..,,,,,,,,,,,,,,,
,2003-04,,,,,,,,,,,,,,BIHAR--DISTRICT,1516,1931,1398,..,,..,,..,..,,3179,1045,..,..,785,..,,,,,,,,,,,,,,,
BANKA,2001-02,,,,,,,,,,,,,,BIHAR--DISTRICT,1116,..,1229,..,,..,,..,..,,2967,820,..,..,..,..,,,,,,,,,,,,,,,
,2002-03,,,,,,,,,,,,,,BIHAR--DISTRICT,1520,..,1334,..,,..,,..,..,,3200,..,..,..,..,..,,,,,,,,,,,,,,,
,2003-04,,,,,,,,,,,,,,BIHAR--DISTRICT,1525,..,1398,..,,..,,..,..,,3179,..,..,..,..,..,,,,,,,,,,,,,,,
MADHEPURA,2001-02,,,,,,,,,,,,,,BIHAR--DISTRICT,1500,1748,1628,..,,..,,..,..,,2967,820,759,..,760,..,,,,,,,,,,,,,,,
,2002-03,,,,,,,,,,,,,,BIHAR--DISTRICT,1532,1505,1350,..,,..,,..,..,,3017,965,778,..,600,1042,,,,,,,,,,,,,,,
,2003-04,,,,,,,,,,,,,,BIHAR--DISTRICT,1516,1367,1398,..,,..,,..,..,,3228,1045,..,..,785,..,,,,,,,,,,,,,,,
PURNIA,2001-02,,,,,,,,,,,,,,BIHAR--DISTRICT,1300,..,1123,..,,..,,..,..,,2967,820,759,..,792,996,,,,,,,,,,,,,,,
,2002-03,,,,,,,,,,,,,,BIHAR--DISTRICT,1469,1746,1334,..,,..,,..,..,,3136,965,778,..,823,1042,,,,,,,,,,,,,,,
,2003-04,,,,,,,,,,,,,,BIHAR--DISTRICT,1470,1931,1398,..,,..,,..,..,,3179,1045,..,..,798,1040,,,,,,,,,,,,,,,
KISHANGANJ,2001-02,,,,,,,,,,,,,,BIHAR--DISTRICT,1300,..,1192,..,,..,,..,..,,2967,820,759,..,804,996,,,,,,,,,,,,,,,
,2002-03,,,,,,,,,,,,,,BIHAR--DISTRICT,1427,1746,1334,..,,..,,..,..,,3136,965,778,..,831,1042,,,,,,,,,,,,,,,
,2003-04,,,,,,,,,,,,,,BIHAR--DISTRICT,1516,1931,1398,..,,..,,..,..,,3179,1045,..,..,792,1040,,,,,,,,,,,,,,,
ARARIA,2001-02,,,,,,,,,,,,,,BIHAR--DISTRICT,1240,1748,1190,..,,..,,..,..,,2967,820,759,..,793,996,,,,,,,,,,,,,,,
,2002-03,,,,,,,,,,,,,,BIHAR--DISTRICT,1500,1746,1334,..,,..,,..,..,,3136,965,778,..,827,1042,,,,,,,,,,,,,,,
,2003-04,,,,,,,,,,,,,,BIHAR--DISTRICT,1493,1931,1404,..,,..,,..,..,,3179,1045,..,..,768,1040,,,,,,,,,,,,,,,
SRIKAKULAM,2001-02,512,475,400,501,439,..,..,..,1273,1088,..,4220,1051,ANDHRAPRADESH–D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,545,546,422,517,436,..,..,..,1366,918,..,..,1084,ANDHRAPRADESH–D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,527,524,430,520,470,..,..,..,1279,988,..,..,1204,ANDHRAPRADESH–D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIZIANAGRAM,2001-02,530,451,444,523,462,..,..,1479,1273,1088,..,..,1044,ANDHRAPRADESH–D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,533,543,483,517,466,..,..,1510,1366,918,..,..,1258,ANDHRAPRADESH–D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,522,526,482,527,483,..,..,1429,1279,936,..,..,1654,ANDHRAPRADESH–D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VISAKHAPATNAM,2001-02,542,444,501,497,447,..,..,1479,1273,1041,..,4220,1141,ANDHRAPRADESH–D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,647,548,510,511,514,..,..,1510,1366,952,..,3960,1480,ANDHRAPRADESH–D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,525,527,518,514,503,..,..,1429,1279,884,..,4286,1443,ANDHRAPRADESH–D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAST GODAVARI,2001-02,542,440,501,522,463,..,..,1479,1336,1041,..,4220,1274,ANDHRAPRADESH–D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,558,542,472,518,478,..,..,1510,1366,989,..,3871,1841,ANDHRAPRADESH–D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,570,522,471,523,477,..,..,1429,1551,989,..,4286,1568,ANDHRAPRADESH–D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEST GODAVARI,2001-02,523,509,..,531,..,..,..,1479,1336,1170,..,4220,1289,ANDHRAPRADESH–D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,554,560,..,518,..,..,..,1510,1387,935,..,4516,1841,ANDHRAPRADESH–D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,560,557,471,525,512,..,..,..,1553,1178,..,4511,1574,ANDHRAPRADESH–D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KRISHNA,2001-02,513,515,..,505,380,..,..,1479,1336,1170,..,2718,1361,ANDHRAPRADESH–D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,659,561,..,516,..,..,..,1510,1693,962,..,2775,1838,ANDHRAPRADESH–D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,554,569,471,517,..,..,..,1437,1555,1083,..,4147,1571,ANDHRAPRADESH–D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUNTUR,2001-02,591,502,405,520,380,..,..,1479,1490,811,..,2700,1287,ANDHRAPRADESH–D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,629,604,499,517,544,..,..,1510,1665,962,..,3963,1590,ANDHRAPRADESH–D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,546,621,472,523,..,..,..,1430,1578,862,..,4068,1485,ANDHRAPRADESH–D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRAKASAN,2001-02,573,461,405,492,382,..,..,1479,1469,811,..,3917,1321,ANDHRAPRADESH–D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,671,521,499,518,542,..,..,1510,1592,962,..,3963,1807,ANDHRAPRADESH–D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,633,482,429,497,509,..,..,1429,1573,862,..,3878,1648,ANDHRAPRADESH–D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUPPAUL,2001-02,,,,,,,,,,,,,,BIHAR--DISTRICT,1300,1748,1229,..,,..,,..,..,,2967,820,759,..,700,..,,,,,,,,,,,,,,,
,2002-03,,,,,,,,,,,,,,BIHAR--DISTRICT,1560,1746,1350,..,,..,,..,..,,3136,965,778,..,725,1042,,,,,,,,,,,,,,,
,2003-04,,,,,,,,,,,,,,BIHAR--DISTRICT,1516,1931,1398,..,,..,,..,..,,3179,1045,..,..,785,1040,,,,,,,,,,,,,,,
KATIHAR,2001-02,,,,,,,,,,,,,,BIHAR--DISTRICT,1219,..,1229,..,,..,,..,..,,2967,820,759,..,716,996,,,,,,,,,,,,,,,
,2002-03,,,,,,,,,,,,,,BIHAR--DISTRICT,1415,1746,1334,..,,..,,..,..,,3136,965,778,..,801,1042,,,,,,,,,,,,,,,
,2003-04,,,,,,,,,,,,,,BIHAR--DISTRICT,1516,1931,..,..,,..,,..,..,,3179,1045,..,..,785,1040,,,,,,,,,,,,,,,
ARBAL,2001-02,,,,,,,,,,,,,,BIHAR--DISTRICT,..,..,..,..,,..,,..,..,,..,..,..,..,..,..,,,,,,,,,,,,,,,
,2002-03,,,,,,,,,,,,,,BIHAR--DISTRICT,1384,..,1334,..,,..,,..,..,,3136,..,..,..,..,..,,,,,,,,,,,,,,,
,2003-04,,,,,,,,,,,,,,BIHAR--DISTRICT,1516,1931,1429,..,,..,,..,..,,3025,1045,..,..,..,..,,,,,,,,,,,,,,,
SHEOHAR,2001-02,,,,,,,,,,,,,,BIHAR--DISTRICT,..,..,..,..,,..,,..,..,,..,..,..,..,..,..,,,,,,,,,,,,,,,
,2002-03,,,,,,,,,,,,,,BIHAR--DISTRICT,1426,..,1331,..,,..,,..,..,,3136,965,..,...,..,..,,,,,,,,,,,,,,,
,2003-04,,,,,,,,,,,,,,BIHAR--DISTRICT,1516,..,1398,..,,..,,..,..,,..,1045,..,..,..,..,,,,,,,,,,,,,,,
LAKHISARAI,2001-02,,,,,,,,,,,,,,BIHAR--DISTRICT,..,..,..,..,,..,,..,..,,..,..,..,..,..,..,,,,,,,,,,,,,,,
,2002-03,,,,,,,,,,,,,,BIHAR--DISTRICT,1426,..,1334,..,,..,,..,..,,3136,..,..,..,..,..,,,,,,,,,,,,,,,
,2003-04,,,,,,,,,,,,,,BIHAR--DISTRICT,1516,..,1398,..,,..,,..,..,,3179,..,..,..,..,..,,,,,,,,,,,,,,,
SHEIKHPURA,2001-02,,,,,,,,,,,,,,BIHAR--DISTRICT,..,..,..,..,,..,,..,..,,..,..,..,..,..,..,,,,,,,,,,,,,,,
,2002-03,,,,,,,,,,,,,,BIHAR--DISTRICT,1426,..,1334,..,,..,,..,..,,..,..,..,..,..,..,,,,,,,,,,,,,,,
,2003-04,,,,,,,,,,,,,,BIHAR--DISTRICT,1516,..,1398,..,,..,,..,..,,..,..,..,..,..,..,,,,,,,,,,,,,,,
BIHAR,2001-02,,,,,,,,,,,,,,BIHAR--DISTRICT,1300,1748,1229,..,,..,,..,..,,2967,820,759,..,769,996,,,,,,,,,,,,,,,
(STATE WEIGHTED,2002-03,,,,,,,,,,,,,,BIHAR--DISTRICT,1426,1746,1334,..,,..,,..,..,,3136,965,778,..,801,1042,,,,,,,,,,,,,,,
,2003-04,,,,,,,,,,,,,,BIHAR--DISTRICT,1516,1931,1398,..,,..,,..,..,,3179,1045,..,..,785,..,,,,,,,,,,,,,,,
RAIPUR,2001-02,521,..,..,500,..,781,..,1526,1500,1096,596,4295,1662,CHHATTISGARH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,949r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,437,..,..,..,..,823,..,1511,1552,1411,546,4024,1850,CHHATTISGARH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,904r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,..,..,..,..,..,..,..,..,..,..,..,..,..,CHHATTISGARH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DURG,2001-02,507,..,..,..,..,755,..,1401,1441,..,..,2942,..,CHHATTISGARH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,790r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,485,..,..,..,..,768,..,1358,1317,..,..,3440,..,CHHATTISGARH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,832r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,..,..,..,..,..,..,..,..,..,..,..,..,..,CHHATTISGARH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAJNANDGAON,2001-02,493,..,..,..,..,684,..,1303,..,..,..,4440,..,CHHATTISGARH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,441,..,..,..,..,882,..,1235,1317,..,..,3911,..,CHHATTISGARH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,..,..,..,..,..,..,..,..,..,..,..,..,..,CHHATTISGARH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BASTAR,2001-02,471,629,..,396,..,997,..,1669,..,1292,..,3416,..,CHHATTISGARH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,864r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,382,..,..,500,..,975,..,1618,..,1235,..,3641,..,CHHATTISGARH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,834r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,..,..,..,..,..,..,..,..,..,..,..,..,..,CHHATTISGARH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BILASPUR,2001-02,489,..,..,606,..,750,..,1528,1388,1356,..,3604,..,CHHATTISGARH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,743r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,511,..,..,692,..,693,..,1596,1863,1223,..,3640,..,CHHATTISGARH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,940r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,..,..,..,..,..,..,..,..,..,..,..,..,..,CHHATTISGARH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SURGUJA,2001-02,395,522,..,426,..,604,540,1703,1312,..,571,4150,1272,CHHATTISGARH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,436,620,..,442,..,645,432,1884,1587,..,486,3778,1375,CHHATTISGARH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,915r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,..,..,..,..,..,..,..,..,..,..,..,..,..,CHHATTISGARH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAIGARH,2001-02,366,..,..,550,..,801,..,1962,..,1525,..,3342,1288,CHHATTISGARH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,441,..,..,556,..,823,..,1954,1386,1399,..,3851,1357,CHHATTISGARH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,764r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,..,..,..,..,..,..,..,..,..,..,..,..,..,CHHATTISGARH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAHASAMUND,2001-02,519,..,..,..,..,..,..,..,..,..,..,..,..,CHHATTISGARH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,405,..,..,..,..,..,..,..,..,..,..,..,2118,CHHATTISGARH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,..,..,..,..,..,..,..,..,..,..,..,..,..,CHHATTISGARH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHAMTARI,2001-02,509,..,..,..,..,..,..,1414,..,..,..,..,..,CHHATTISGARH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,463,..,..,..,..,..,..,1426,..,..,..,..,..,CHHATTISGARH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,..,..,..,..,..,..,..,..,..,..,..,..,..,CHHATTISGARH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAWARDHA,2001-02,455,..,..,427,..,699,..,1381,1426,1342,..,..,..,CHHATTISGARH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,667r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,421,..,..,447,..,693,..,1356,1466,1263,..,3160,..,CHHATTISGARH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,775r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,..,..,..,..,..,..,..,..,..,..,..,..,..,CHHATTISGARH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DANTEWADA,2001-02,482,..,..,390,..,831,..,1800,1489,1501,701,4010,2109,CHHATTISGARH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,889r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,481,600,..,692,804,1017,..,1991,1442,1433,533,4000,..,CHHATTISGARH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,898r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,..,..,..,..,..,..,..,..,..,..,..,..,..,CHHATTISGARH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KANKER,2001-02,486,..,..,520,664,858,700,1774,2095,..,596,4103,..,CHHATTISGARH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,924r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,382,..,..,463,..,873,..,2050,2198,1399,500,3508,2298,CHHATTISGARH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,..,..,..,..,..,..,..,..,..,..,..,..,..,CHHATTISGARH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JANJGIR-CHAMPA,2001-02,484,..,..,..,..,877,..,2007,200,1248,..,..,..,CHHATTISGARH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,896r,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,..,..,..,..,..,1050,..,1933,1904,1394,..,..,..,CHHATTISGARH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,..,..,..,..,..,..,..,..,..,..,..,..,..,CHHATTISGARH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KORBA,2001-02,360,..,..,420,..,..,560,1909,..,..,..,..,..,CHHATTISGARH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,964r,..,..,526,..,853,..,1660,1875,1875,..,4164,..,CHHATTISGARH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,..,..,..,..,..,..,..,..,..,..,..,..,..,CHHATTISGARH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KORIYA,2001-02,834r,..,..,450,..,713,..,2000,1833,..,640,3361,..,CHHATTISGARH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,868r,500,..,496,..,704,..,1540,1637,..,500,4200,..,CHHATTISGARH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,..,..,..,..,..,..,..,..,..,..,..,..,..,CHHATTISGARH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JASHPUR,2001-02,473,..,..,501,..,710,..,1592,..,1533,616,..,1269,CHHATTISGARH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,809r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,646r,..,..,..,..,..,..,..,1340,1290,509,3997,1442,CHHATTISGARH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,..,..,..,..,..,..,..,..,..,..,..,..,..,CHHATTISGARH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHHATTISGARH,2001-02,464,..,..,467,822,768,596,1649,1558,1354,662,3736,1488,CHHATTISGARH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(STATE W,834r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002-03,439,571,..,528,940,821,432,1631,1598,1358,512,3782,1701,CHHATTISGARH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,844r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003-04,..,..,..,..,..,..,..,..,..,..,..,..,..,CHHATTISGARH--D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAIPUR,2001-02,,,,,,,,,,,,,,CHHATTISGARH--D,2500,2410,1794,..,..,..,..,..,..,,4286,..,..,,,2398,,,,,,,,,,,,,,,
,2002-03,,,,,,,,,,,,,,CHHATTISGARH--D,..,2075,1825,..,..,..,..,..,..,,3820,3039,..,,,2331,,,,,,,,,,,,,,,
,2003-04,,,,,,,,,,,,,,CHHATTISGARH--D,..,..,..,..,..,..,..,..,..,,..,..,..,,,..,,,,,,,,,,,,,,,
DURG,2001-02,,,,,,,,,,,,,,CHHATTISGARH--D,..,..,1614,..,..,..,..,..,..,,2885,..,..,,,..,,,,,,,,,,,,,,,
,2002-03,,,,,,,,,,,,,,CHHATTISGARH--D,..,..,1806,..,..,..,..,..,..,,3382,..,..,,,..,,,,,,,,,,,,,,,
,2003-04,,,,,,,,,,,,,,CHHATTISGARH--D,..,..,..,..,..,..,..,..,..,,..,..,..,,,..,,,,,,,,,,,,,,,
RAJNANDGAON,2001-02,,,,,,,,,,,,,,CHHATTISGARH--D,..,..,..,..,..,..,..,..,..,,4498,..,..,,,..,,,,,,,,,,,,,,,
,2002-03,,,,,,,,,,,,,,CHHATTISGARH--D,..,..,..,..,..,..,..,..,..,,4375,..,..,,,..,,,,,,,,,,,,,,,
,2003-04,,,,,,,,,,,,,,CHHATTISGARH--D,..,..,..,..,..,..,..,..,..,,..,..,..,,,..,,,,,,,,,,,,,,,
BASTER,2001-02,,,,,,,,,,,,,,CHHATTISGARH--D,2320,1845,..,..,1142,..,..,..,..,,3694,3442,..,,,1767,,,,,,,,,,,,,,,
,2002-03,,,,,,,,,,,,,,CHHATTISGARH--D,1947,2000,..,..,..,..,..,..,..,,3735,3562,..,,,2143,,,,,,,,,,,,,,,
,2003-04,,,,,,,,,,,,,,CHHATTISGARH--D,..,..,..,..,..,..,..,..,..,,..,..,..,,,..,,,,,,,,,,,,,,,
