StateUnionTerritory,Year,Paddy,Jowar,Bajra,Maize,Ragi,Wheat,Barley,Gram,TurArhar,SugarRaw,Potato,Tobacco,Groundnut,state,RapeSeed,Sesamum,Linseed,CasterSeed,Nigerseed,Cotton,Soyabean,Sannhemp,Pepper,GingerFresh,Chilly,Turmeric,Mesta,Toria,Jute,Ginger,ChillyDry,Banana,Coconut100Nos,ChillyFresh,TurmericFresh,Rice,Nigeseed,TurmericDry,Sunflower,Coconut1000Nos,Arecanut,GingerDry,Cashewnut,Arecanut100Nos,Tapioca
,2003-04,,,,,,,,,,,,,,MANIPUR,1616,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,
BETUL,2001-02,,,,,,,,,,,,,,MANIPUR,,1688,..,..,..,..,923,..,..,2826,3577,..,..,,,,,,,,,,,,,,,,,,
,2002-03,,,,,,,,,,,,,,MANIPUR,..,2289,..,..,..,2500,1236,..,..,2623,3610,..,..,,,,,,,,,,,,,,,,,,
,2003-04,,,,,,,,,,,,,,MANIPUR,..,3020,..,..,..,..,1337,..,..,3404,4573,..,..,,,,,,,,,,,,,,,,,,
RAJGARH,2001-02,,,,,,,,,,,,,,MANIPUR,..,1879,..,..,..,..,970,1485,..,..,3711,..,..,,,,,,,,,,,,,,,,,,
,2002-03,,,,,,,,,,,,,,MANIPUR,..,2265,..,..,..,..,1290,..,..,..,4194,..,..,,,,,,,,,,,,,,,,,,
,2003-04,,,,,,,,,,,,,,MANIPUR,..,2727,..,..,..,..,1457,..,..,..,4515,..,..,,,,,,,,,,,,,,,,,,
HOSHANGABAD,2001-02,,,,,,,,,,,,,,MANIPUR,..,2000,1250,..,..,..,945,..,..,1947,3914,..,..,,,,,,,,,,,,,,,,,,
,2002-03,,,,,,,,,,,,,,MANIPUR,..,3100,..,..,..,..,1262,..,..,2082,3714,..,..,,,,,,,,,,,,,,,,,,
,2003-04,,,,,,,,,,,,,,MANIPUR,..,3200,..,..,..,..,1394,..,..,3206,4530,..,..,,,,,,,,,,,,,,,,,,
DINDORI,2001-02,,,,,,,,,,,,,,MANIPUR,1213,..,1265,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,
,2002-03,,,,,,,,,,,,,,MANIPUR,1630,..,1719,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,
,2003-04,,,,,,,,,,,,,,MANIPUR,1833,..,1617,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,
UMARIA,2001-02,,,,,,,,,,,,,,MANIPUR,1504,2400,1423,..,..,..,..,..,..,1542,4295,3362,..,,,,,,,,,,,,,,,,,,
,2002-03,,,,,,,,,,,,,,MANIPUR,1438,1925,1612,..,..,..,..,..,..,1281,4095,3067,..,,,,,,,,,,,,,,,,,,
,2003-04,,,,,,,,,,,,,,MANIPUR,1736,2227,1625,..,..,..,..,..,..,3629,5078,4500,..,,,,,,,,,,,,,,,,,,
BADBANI,2001-02,,,,,,,,,,,,,,MANIPUR,..,..,..,..,..,..,951,..,..,1265,..,..,..,,,,,,,,,,,,,,,,,,
,2002-03,,,,,,,,,,,,,,MANIPUR,..,..,..,..,..,..,1303,..,..,1392,..,..,..,,,,,,,,,,,,,,,,,,
,2003-04,,,,,,,,,,,,,,MANIPUR,..,..,..,..,..,..,1402,..,..,2966,..,..,..,,,,,,,,,,,,,,,,,,
NEEMUCH,2001-02,,,,,,,,,,,,,,MANIPUR,1103,..,..,..,..,..,923,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,
,2002-03,,,,,,,,,,,,,,MANIPUR,1514,..,..,..,..,..,1279,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,
,2003-04,,,,,,,,,,,,,,MANIPUR,1740,..,..,..,..,..,1446,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,
SHEOPUR,2001-02,,,,,,,,,,,,,,MANIPUR,1052,..,..,..,..,..,1083,..,..,..,3729,..,..,,,,,,,,,,,,,,,,,,
,2002-03,,,,,,,,,,,,,,MANIPUR,1825,..,..,..,1750,..,1119,..,..,..,4145,..,..,,,,,,,,,,,,,,,,,,
,2003-04,,,,,,,,,,,,,,MANIPUR,1915,..,..,..,..,..,..,..,..,..,4333,..,..,,,,,,,,,,,,,,,,,,
HARDA,2001-02,,,,,,,,,,,,,,MANIPUR,..,1765,1418,..,..,1708,928,..,..,2196,3458,..,..,,,,,,,,,,,,,,,,,,
